0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:29:29 +0900] "GET /damin/resources/upload/p_image/530_1(14).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:29:29 +0900] "GET /damin/resources/upload/p_image/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:30:03 +0900] "GET /damin/mall/view?p_seq=1 HTTP/1.1" 200 11485
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:30:03 +0900] "GET /damin/resources/upload/p_image/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:30:12 +0900] "GET /damin/mall/view?p_seq=2 HTTP/1.1" 200 11277
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:30:12 +0900] "GET /damin/resources/upload/p_image/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:30:18 +0900] "GET /damin/mall/view?p_seq=1 HTTP/1.1" 200 11485
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:30:18 +0900] "GET /damin/resources/upload/p_image/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:30:21 +0900] "GET /damin/mall/update?mode=update&p_seq=1 HTTP/1.1" 200 10616
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:30:26 +0900] "POST /damin/mall/save HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:30:27 +0900] "GET /damin/mall/list HTTP/1.1" 200 15940
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:30:27 +0900] "GET /damin/resources/upload/p_image/530_1(14).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:30:27 +0900] "GET /damin/resources/upload/p_image/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:30:27 +0900] "GET /damin/resources/upload/p_image/530_3(13).jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:30:27 +0900] "GET /damin/resources/upload/p_image/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:30:30 +0900] "GET /damin/mall/list HTTP/1.1" 200 15940
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:30:30 +0900] "GET /damin/resources/upload/p_image/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:30:30 +0900] "GET /damin/resources/upload/p_image/530_3(13).jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:30:30 +0900] "GET /damin/resources/upload/p_image/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:30:33 +0900] "GET /damin/mall/view?p_seq=1 HTTP/1.1" 200 11485
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:30:33 +0900] "GET /damin/resources/upload/p_image/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:30:36 +0900] "GET /damin/mall/update?mode=update&p_seq=1 HTTP/1.1" 200 10616
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:30:41 +0900] "POST /damin/mall/save HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:30:42 +0900] "GET /damin/mall/list HTTP/1.1" 200 16346
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:30:42 +0900] "GET /damin/resources/upload/p_image/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:30:42 +0900] "GET /damin/resources/upload/p_image/530_1(14).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:30:42 +0900] "GET /damin/resources/upload/p_image/530_2(16).jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:30:42 +0900] "GET /damin/resources/upload/p_image/530_3(13).jpg HTTP/1.1" 200 117564
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:30:42 +0900] "GET /damin/resources/upload/p_image/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:30:46 +0900] "GET /damin/mall/view?p_seq=1 HTTP/1.1" 200 11485
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:30:46 +0900] "GET /damin/resources/upload/p_image/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:30:49 +0900] "GET /damin/mall/view?p_seq=17 HTTP/1.1" 200 11501
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:30:49 +0900] "GET /damin/resources/upload/p_image/530_3(13).jpg HTTP/1.1" 304 -
